Epoch,"0304_235058
whatsup_vlm_b_lr_autofill_remove_sun_rem_pho
trainable_parameters = [""attentions"", ""encoder_hid_proj""]
lr = 5e-4, num_objs=15",,"0305_020005
splitD","0305_154304
splitF","0305_205347
splitJ","0306_002255, 0306_103950
splitI","0306_025534
splitK","0305_114450, 0305_153941
splitG (top horizontal half)","0305_194724, 0306_111552
splitG (left vertical falf)","0305_030459
splitA","0305_015747
splitB","0305_165412, 0306_013442
splitH","0305_020237, 0306_090811
splitC","0305_215826, 0306_013341
splitE",,"0305_112918, 0305_202330
splitZ","0305_113043, 0305_192338
splitU","0305_164143
splitV","0305_130732, 0305_144009, 0305_153135
splitT","0305_113949, 0305_185313
splitW","0305_145926, 0305_174809
splitX"
199,,,13.64 tr acc = 25.5,11.22 tr acc = 29.91,7.14 tr acc = 37.05,17.67 tr acc = 22.73,13.56 tr acc = 32.61,20.54 tr acc = 27.04,22.77 tr acc = 32.14,11.9 tr acc = 29.05,13.43 tr acc = 29.41,14.41 tr acc = 29.35,14.29 tr acc = 26.02,14.49 tr acc = 29.13,,5.8 tr acc = 54.59,16.67 tr acc = 50.95,5.56 tr acc = 43.14,4.66 tr acc = 57.61,10.71 tr acc = 42.35,10.28 tr acc = 47.09
399,,,13.64 tr acc = 31,12.24 tr acc = 25.89,6.63 tr acc = 32.59,16.54 tr acc = 40.91,22.03 tr acc = 32.61,19.2 tr acc = 34.18,17.86 tr acc = 30.61,16.19 tr acc = 29.52,21.3 tr acc = 36.76,19.92 tr acc = 28.8,15.18 tr acc = 33.67,16.82 tr acc = 30.58,,7.14 tr acc = 65.82,13.81 tr acc = 53.81,7.41 tr acc = 53.92,2.54 tr acc = 64.13,8.93 tr acc = 64.29,6.54 tr acc = 57.28
599,,,15.91 tr acc = 30.5,16.33 tr acc = 38.39,6.12 tr acc = 39.29,20.2 tr acc = 30.52,19.92 tr acc = 35.87,19.2 tr acc = 32.14,20.98 tr acc = 32.65,15.71 tr acc = 29.52,20.83 tr acc = 35.29,22.03 tr acc = 36.96,20.09 tr acc = 32.65,15.42 tr acc = 32.04,,2.68 tr acc = 77.55,13.33 tr acc = 53.33,11.11 tr acc = 63.24,4.66 tr acc = 61.96,13.84 tr acc = 66.84,7.01 tr acc = 57.77
799,,,18.18 tr acc = 43,10.2 tr acc = 37.95,10.2 tr acc = 37.05,28.2 tr acc = 27.92,21.19 tr acc = 36.96,15.62 tr acc = 34.18,22.77 tr acc = 31.63,17.14 tr acc = 34.76,18.52 tr acc = 38.73,22.46 tr acc = 33.7,24.55 tr acc = 32.14,13.08 tr acc = 31.07,,4.02 tr acc = 89.29,15.24 tr acc = 82.38,11.57 tr acc = 61.76,3.39 tr acc = 67.39,12.5 tr acc = 80.61,7.01 tr acc = 57.77
999,16.07 tr acc = 60.06,,22.27 tr acc = 42,13.78 tr acc = 34.82,8.67 tr acc = 40.62,25.56 tr acc = 33.77,26.69 tr acc = 33.7,20.54 tr acc = 36.73,21.43 tr acc = 37.76,20.95 tr acc = 40,15.74 tr acc = 37.35,25.42 tr acc = 36.41,25 tr acc = 33.16,16.83 tr acc = 39.32,,3.57 tr acc = 85.2,13.81 tr acc = 84.29,21.76 tr acc = 84.8,2.54 tr acc = 73.37,15.18 tr acc = 86.22,13.55 tr acc = 73.3
1199,34.82 tr acc = 77.27,,19.55 tr acc = 47,12.76 tr acc = 43.75,6.63 tr acc = 44.64,36.32 tr acc = 38.96,30.08 tr acc = 52.17,29.02 tr acc = 58.67,25.45 tr acc = 50,27.14 tr acc = 63.81,25.93 tr acc = 41.18,24.58 tr acc = 39.13,27.68 tr acc = 38.78,21.96 tr acc = 32.52,,2.68 tr acc = 88.27,14.76 tr acc = 84.29,13.89 tr acc = 78.92,4.24 tr acc = 71.2,15.62 tr acc = 82.14,19.16 tr acc = 78.64
1399,26.79 tr acc = 82.47,,18.18 tr acc = 38.5,14.8 tr acc = 67.41,4.59 tr acc = 37.05,28.57 tr acc = 36.36,38.14 tr acc = 71.2,43.3 tr acc = 82.14,35.27 tr acc = 75,30 tr acc = 78.57,31.94 tr acc = 57.84,27.12 tr acc = 35.33,35.27 tr acc = 62.76,26.64 tr acc = 42.72,,2.23 tr acc = 89.29,14.29 tr acc = 84.29,13.89 tr acc = 77.94,5.93 tr acc = 73.91,16.52 tr acc = 82.14,22.43 tr acc = 89.32
1599,33.04 tr acc = 86.04,,29.55 tr acc = 61.5,32.14 tr acc = 89.29,6.63 tr acc = 40.18,26.32 tr acc = 42.86,42.8 tr acc = 83.7,44.64 tr acc = 83.67,37.05 tr acc = 86.73,38.1 tr acc = 78.1,32.41 tr acc = 60.29,25.85 tr acc = 43.48,41.07 tr acc = 80.1,34.11 tr acc = 54.85,,3.12 tr acc = 91.33,14.29 tr acc = 84.76,21.76 tr acc = 83.82,8.05 tr acc = 81.52,18.75 tr acc = 86.73,24.3 tr acc = 86.89
1799,,,36.82 tr acc = 72.5,32.14 tr acc = 85.71,4.08 tr acc = 42.86,40.23 tr acc = 55.84,55.08 tr acc = 82.61,48.66 tr acc = 86.22,41.52 tr acc = 84.18,36.67 tr acc = 81.9,37.04 tr acc = 80.88,38.14 tr acc = 66.85,50.89 tr acc = 90.82,47.2 tr acc = 79.61,,1.34 tr acc = 86.73,13.33 tr acc = 82.86,18.98 tr acc = 81.37,7.2 tr acc = 80.43,20.09 tr acc = 87.24,20.09 tr acc = 81.55
1999,,,38.64 tr acc = 90.5,27.55 tr acc = 88.39,7.14 tr acc = 34.38,48.12 tr acc = 79.87,52.12 tr acc = 89.13,48.66 tr acc = 88.78,40.62 tr acc = 93.37,40 tr acc = 83.81,44.91 tr acc = 92.65,41.95 tr acc = 82.07,50.89 tr acc = 87.76,41.59 tr acc = 86.89,,2.23 tr acc = 88.78,13.33 tr acc = 84.76,17.59 tr acc = 85.78,6.78 tr acc = 81.52,17.41 tr acc = 90.82,23.36 tr acc = 84.47
